Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/chart/  (analyst),32,0,750.0,858.0030031080241,374.3489000480622,1841.6328998282552,138230.0,0.26636250155162455,0.0,770,1100,1200,1200,1400,1700,1800,1800,1800,1800,1800
GET,GET /api/v1/chart/  (viewer),53,0,760.0,882.4912547177794,337.1305000036955,3083.963899873197,138230.0,0.44116289319487817,0.0,760,890,1100,1100,1400,1900,2600,3100,3100,3100,3100
GET,GET /api/v1/chart/favorite_status/,2,0,37.09629992954433,81.57739997841418,37.09629992954433,126.05850002728403,134.0,0.016647656346976535,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,GET /api/v1/chart/{id}  (analyst),18,0,58,85.9307499938748,33.27269991859794,221.33430000394583,2810.277777777778,0.14982890712278882,0.0,59,100,110,160,190,220,220,220,220,220,220
GET,GET /api/v1/chart/{id}  (viewer),49,0,60,89.94979592876471,28.610300039872527,472.47170004993677,3161.673469387755,0.4078675805009251,0.0,60,98,110,130,150,290,470,470,470,470,470
GET,GET /api/v1/dashboard/  (analyst),19,0,340.0,376.8738736888688,177.53760004416108,1326.9356999080628,8018.0,0.15815273529627707,0.0,340,380,390,450,630,1300,1300,1300,1300,1300,1300
GET,GET /api/v1/dashboard/  (embed),50,0,280.0,420.2812380064279,162.8131999168545,1341.754499822855,8018.0,0.41619140867441334,0.0,310,460,550,670,860,980,1300,1300,1300,1300,1300
GET,GET /api/v1/dashboard/  (viewer),135,0,320.0,396.6784133317156,156.7644001916051,1338.3644002024084,8018.0,1.1237168034209162,0.0,320,410,470,530,710,840,1200,1300,1300,1300,1300
GET,GET /api/v1/dashboard/{id}  (analyst),16,0,59,110.50439375685528,29.698400059714913,342.7762999199331,9206.4375,0.13318125077581228,0.0,92,110,130,130,260,340,340,340,340,340,340
GET,GET /api/v1/dashboard/{id}  (embed),42,0,67,100.59776903307508,29.259599978104234,325.37889992818236,8176.761904761905,0.34960078328650723,0.0,76,110,140,160,220,230,330,330,330,330,330
GET,GET /api/v1/dashboard/{id}  (viewer),93,0,52,77.73652365831758,30.34020005725324,326.1784000787884,8582.41935483871,0.7741160201344088,0.0,52,63,80,120,180,210,310,330,330,330,330
GET,GET /api/v1/dashboard/{id}/charts,64,0,46,67.46846561145503,25.408999994397163,299.2265000939369,11717.109375,0.5327250031032491,0.0,49,64,79,94,120,180,270,300,300,300,300
GET,GET /api/v1/dashboard/{id}/datasets,53,0,140.0,158.3255622535944,38.552300073206425,479.91669992916286,22137.43396226415,0.44116289319487817,0.0,140,170,190,220,310,400,430,480,480,480,480
GET,GET /api/v1/database/1/schemas/,2,0,51,100.24860000703484,50.95679988153279,149.5404001325369,43.0,0.016647656346976535,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,GET /api/v1/dataset/  (analyst),5,0,69,70.61297995969653,65.32930000685155,75.73839998804033,43353.0,0.04161914086744133,0.0,69,76,76,76,76,76,76,76,76,76,76
GET,GET /api/v1/explore/?slice_id=,13,0,67,88.64117691364999,37.08070004358888,202.9134000185877,29274.076923076922,0.10820976625534748,0.0,67,100,130,140,140,200,200,200,200,200,200
GET,GET /api/v1/saved_query/,1,0,52.33640014193952,52.33640014193952,52.33640014193952,52.33640014193952,1933.0,0.008323828173488267,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,GET /api/v1/sqllab/,5,0,66,62.56321999244392,28.058499796316028,108.72670006938279,1460.0,0.04161914086744133,0.0,66,71,71,110,110,110,110,110,110,110,110
GET,GET /explore/?slice_id=  (html),9,0,33,46.688266667640875,25.3175999969244,149.31920007802546,10399.0,0.07491445356139441,0.0,33,34,36,60,150,150,150,150,150,150,150
GET,GET /health,5,0,27,28.335139993578196,21.2848000228405,38.161100121214986,2.0,0.04161914086744133,0.0,27,29,29,38,38,38,38,38,38,38,38
GET,GET /superset/dashboard/{id}/  (embed html),25,0,46,121.31722001358867,22.190399933606386,1521.6322999913245,10399.0,0.20809570433720667,0.0,46,79,91,120,150,160,1500,1500,1500,1500,1500
GET,GET /superset/dashboard/{id}/  (html),35,0,49,107.51010287952211,24.468300165608525,1142.75909983553,10399.0,0.2913339860720894,0.0,49,66,140,160,180,340,1100,1100,1100,1100,1100
GET,GET /superset/welcome/,6,0,39,199.61390000147125,23.87610008008778,945.7467999309301,10353.0,0.049942969040929604,0.0,71,71,91,91,950,950,950,950,950,950,950
POST,POST /api/v1/chart/data  (analyst),26,0,80,115.2710692348102,49.409399973228574,467.5811000633985,816.0,0.21641953251069496,0.0,87,130,130,140,220,220,470,470,470,470,470
POST,POST /api/v1/chart/data  (embed),30,0,76,122.7040400262922,50.125000067055225,397.8786999359727,816.0,0.249714845204648,0.0,83,130,170,190,260,300,400,400,400,400,400
POST,POST /api/v1/chart/data  (viewer),100,0,87,120.58195900171995,47.39159997552633,732.3094001039863,815.83,0.8323828173488267,0.0,89,130,150,170,210,280,430,730,730,730,730
,Aggregated,888,0,130.0,244.78208840125123,21.2848000228405,3083.963899873197,20626.861486486487,7.391559418057581,0.0,130,210,300,360,650,870,1200,1500,3100,3100,3100
